"ano"	"dia"	"reco"	"PRP"
2005	1.54545454545455	6.18	0
2005	2.54545454545455	6.18	0
2005	3.54545454545455	6.18	0
2005	4.54545454545455	6.18	0
2005	5.54545454545455	6.18	0
2005	6.54545454545455	6.18	0
2005	7.54545454545455	6.18	0
2005	8.54545454545454	6.18	0
2005	9.54545454545454	6.18	0
2005	10.5454545454545	6.18	0
2005	11.5454545454545	6.18	0
2005	12.5454545454545	6.18	0
2005	13.5454545454545	6.18	0
2005	14.5454545454545	6.18	0
2005	15.5454545454545	6.18	0
2005	16.5454545454545	6.18	0
2005	17.5454545454545	6.18	0
2005	18.5454545454545	6.18	0
2005	19.5454545454545	6.18	0
2005	20.5454545454545	6.18	0
2005	21.5454545454545	6.18	0
2005	22.5454545454545	6.18	0
2005	23.5454545454545	6.18	0
2005	24.5454545454545	6.18	0
2005	25.5454545454545	6.18	0
2005	26.5454545454545	6.18	0
2005	27.5454545454545	6.18	0
2005	28.5454545454545	6.18	0
2005	29.5454545454545	6.18	0
2005	30.5454545454545	6.18	0
2005	31.5454545454545	6.18	0
2005	32.5454545454545	6.18	0
2005	33.5454545454545	6.18	0
2005	34.5454545454545	6.18	0
2005	35.5454545454545	6.18	0
2005	36.5454545454545	6.18	0
2005	37.5454545454545	6.18	0
2005	38.5454545454545	6.18	0
2005	39.5454545454545	6.18	0
2005	40.5454545454545	6.18	0
2005	41.5454545454545	6.18	0
2005	42.5454545454545	6.18	0
2005	43.5454545454545	6.18	0
2005	44.5454545454545	6.18	0
2005	45.5454545454545	6.18	0
2005	46.5454545454545	6.18	0
2005	47.5454545454545	6.18	0
2005	48.5454545454545	6.18	0
2005	49.5454545454545	8.06	0
2005	50.5454545454545	8.06	0
2005	51.5454545454545	5.35	0
2005	52.5454545454545	5.35	0
2005	53.5454545454545	5.35	0
2005	54.5454545454545	6.06	0
2005	55.5454545454545	6.84	0
2005	56.5454545454545	6.84	0
2005	57.5454545454545	6.84	0
2005	58.5454545454545	6.84	0
2005	59.5454545454545	6.42	0
2005	60.5454545454545	6.42	0
2005	61.5454545454545	6.74	0
2005	62.5454545454545	6.87	0
2005	63.5454545454545	6.87	0
2005	64.5454545454545	7.44545454545455	0
2005	65.5454545454545	6.93	0.12
2005	66.5454545454545	3.01909090909091	2.53
2005	67.5454545454545	4.88909090909091	17.27
2005	68.5454545454545	6.56	0
2005	69.5454545454545	6.90181818181818	0
2005	70.5454545454545	7.15272727272727	0
2005	71.5454545454545	6.56	0.12
2005	72.5454545454545	6.56	6.22
2005	73.5454545454545	6.56	2.14
2005	74.5454545454545	6.69818181818182	32.75
2005	75.5454545454545	6.52727272727273	0.88
2005	76.5454545454545	7.10818181818182	3.3
2005	77.5454545454545	7.01454545454545	0.37
2005	78.5454545454545	6.73	0
2005	79.5454545454545	6.73636363636364	0
2005	80.5454545454545	6.67	0.12
2005	81.5454545454545	6.67	0
2005	82.5454545454545	5.00545454545455	2.76
2005	83.5454545454545	7.58	0
2005	84.5454545454545	7.47	0
2005	85.5454545454545	7.61	0
2005	86.5454545454545	7.8	0
2005	87.5454545454545	7.8	0
2005	88.5454545454545	7.44	2.9
2005	89.5454545454545	7.85	0.74
2005	90.5454545454545	7.9	4.56
2005	91.5454545454545	7.70545454545455	0
2005	92.5454545454545	8.33454545454546	4.32
2005	93.5454545454545	8.26	0
2005	94.5454545454545	7.04181818181818	0.13
2005	95.5454545454545	9.01363636363636	2.16
2005	96.5454545454545	8.29	15.11
2005	97.5454545454545	8.51181818181818	0
2005	98.5454545454545	5.11727272727273	10.53
2005	99.5454545454545	8.02818181818182	0
2005	100.545454545455	8.76818181818182	4.83
2005	101.545454545455	5.13363636363636	11.82
2005	102.545454545455	7.79	0.51
2005	103.545454545455	6.53181818181818	24.76
2005	104.545454545455	9.21181818181818	0.76
2005	105.545454545455	7.04454545454545	6.23
2005	106.545454545455	11.03	8.51
2005	107.545454545455	8.01090909090909	0
2005	108.545454545455	7.87909090909091	0
2005	109.545454545455	7.28	0.13
2005	110.545454545455	8.54818181818182	2.15
